Hướng;Đường trước nhà(m);Loại BDS;Pháp lý;Số lầu;Số phòng ngủ;Giá(Tỷ);Diện tích(m2);Địa chỉ;Tỉnh/ Thành phố;Quận/ Huyện;Mật độ dân số (người/km²);GDPD(%)
_;64.0;0;1;4;4;112.0;441.0; Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;8.0;0;1;5;4;51.0;130.0; Phố Quảng Khánh, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;64.0;0;1;4;6;105.0;425.0; Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;15.0;0;1;4;6;87.0;250.0; Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;7.0;0;1;6;12;17.0;76.0; Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;7.0;0;0;5;4;88.0;240.0; Đường Tây Hồ, Phường Nhật Tân, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;4.0;0;0;5;3;7.4;44.0; Đường Thanh Xuân Bắc, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;5.0;0;0;4;5;7.299;39.0; Đường Nguyễn Trãi, Phường Khương Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;9.0;0;1;5;5;20.0;94.0; Phố Vạn Phúc, Phường Kim Mã, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;13.0;0;1;5;4;15.0;58.0; Phố Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;7.0;0;1;5;4;58.0;280.0; Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;7.0;0;1;5;4;58.0;280.0; Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;15.0;0;1;4;4;64.0;260.0; Đường Thành Thái, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;15.0;0;1;10;20;76.0;170.0; Phố Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;6.0;0;1;5;6;7.0;65.0; Đường A, Phường Phú Thạnh, Quận Tân Phú, Hồ Chí Minh;7;Tân Phú;30.146;5.81
_;13.0;0;1;4;4;74.0;260.0; Đường Thọ Tháp, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;7.0;0;1;5;4;58.0;280.0; Đường Dịch Vọng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;9.0;0;0;4;6;39.0;215.0; Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;20.0;0;1;4;6;34.8;180.0; Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;30.0;0;1;6;6;33.3;170.0; Đường Ngọc Thụy, Phường Thượng Thanh, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;22.0;0;0;5;6;31.0;200.0; Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;5.0;0;1;3;5;31.0;262.0; Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội;3;Hai Bà Trưng;29.474;6.27
_;5.0;0;1;4;4;38.0;165.0; Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội;3;Ba Đình;24.119;6.27
_;8.0;0;1;2;5;15.5;250.0; Đường Cao Thắng, Phường 7, Thành phố Đà Lạt, Lâm Đồng;6;Đà Lạt;574.0;5.63
_;10.0;0;0;3;4;19.0;150.0; Đường Thăng Long, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng;8;Hải Châu;8.649;2.58
Đông Nam;12.0;0;1;2;2;2.899;40.0; Đường số 22, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Tây Bắc;19.0;0;1;3;4;6.5;64.0; Đường số 3, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Đông Nam;30.0;0;1;4;5;12.8;114.0; Đường Vũ Đình Liệu, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Nam;20.0;0;1;4;4;6.9;60.0; Đường D13, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Nam;15.0;0;1;4;5;7.699;77.0; ĐƯỜNG B25,  Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Nam;4.0;0;1;2;3;3.4;57.0; Đường Nguyễn Văn Linh, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Đông Nam;15.0;0;1;3;4;7.8;81.0; Đường B11, Phường Hưng Phú, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Tây Bắc;4.0;0;1;2;2;2.55;43.0; Đường Nguyễn Thông, Phường An Thới, Quận Bình Thủy, Cần Thơ;2;Bình Thủy;1.999;5.75
Đông Bắc;14.0;0;1;3;3;5.5;99.0; Đường số 50, Phường Bình Thủy, Quận Bình Thủy, Cần Thơ;2;Bình Thủy;1.999;5.75
Đông Bắc;19.0;0;1;4;5;10.0;175.0; Đường số 22, Xã Mỹ Khánh, Huyện Phong Điền, Cần Thơ;2;Phong Điền;779.0;5.75
Đông;4.0;0;1;2;3;2.15;64.0; Đường Nguyễn Văn Linh, Phường Long Tuyền, Quận Bình Thủy, Cần Thơ;2;Bình Thủy;1.999;5.75
Đông Bắc;5.0;0;1;2;3;3.69;60.0; Đường Nguyễn Văn Cừ, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;4.0;0;1;4;7;19.5;215.0; Đường Ngô Tất Tố, Phường 8, Thành phố Đà Lạt, Lâm Đồng;6;Đà Lạt;574.0;5.63
_;7.0;0;1;5;5;8.98;75.0; Đường Nguyễn Sỹ Sách, Phường 15, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
Đông Bắc;45.0;0;1;3;5;11.7;160.0; Đường số 1, Xã Long Hưng, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
_;6.0;0;1;5;4;7.9;52.0; Đường Phạm Văn Chiêu, Phường 9, Quận Gò Vấp, Hồ Chí Minh;7;Gò Vấp;34.36;5.81
_;7.0;0;1;4;4;14.8;53.0; Phố Tôn Đức Thắng, Phường Hàng Bột, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;12.0;0;0;2;3;3.9;70.0; Đường D24, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
Đông Bắc;13.0;0;1;1;3;4.65;64.0; Đường số 7, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;12.0;0;1;2;4;4.55;64.0; Đường Số 7A, Phường Hưng Thạnh, Quận Cái Răng, Cần Thơ;2;Cái Răng;1.578;5.75
_;16.0;0;1;3;2;19.0;112.0; Đường 30 Tháng 4, Phường Xuân Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;13.0;0;1;1;3;4.2;60.0; Đường số 7, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;15.0;0;0;1;3;5.35;90.0; Đường số 3, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Tây Bắc;21.0;0;1;1;3;13.5;172.0; Đường số 8, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
Đông Bắc;20.0;0;1;3;7;18.9;307.0; Đường số 13, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;12.0;0;0;1;3;4.25;75.0; Đường B26, Phường An Khánh, Quận Ninh Kiều, Cần Thơ;2;Ninh Kiều;9.606;5.75
_;5.0;0;0;4;4;12.0;88.0; Đường Ngọc Hồi, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội;3;Hoàng Mai;12.564;6.27
_;20.0;0;1;3;4;14.7;105.0; Đường DN7, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;12.0;0;1;3;5;11.0;192.0; Đường Lê Thị Riêng, Phường Thới An, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;10.0;0;1;2;5;9.2;108.0; Đường Đông Hưng Thuận 5, Phường Tân Hưng Thuận, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
Bắc;15.0;0;0;3;5;15.6;108.0; Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh;7;Quận 8;22.118;5.81
Tây;6.0;0;1;1;6;28.0;529.0; Đường Phạm Thế Hiển, Phường 5, Quận 8, Hồ Chí Minh;7;Quận 8;22.118;5.81
Tây Bắc;8.0;0;1;3;6;21.0;189.0; Đường Bông Sao, Phường 5, Quận 8, Hồ Chí Minh;7;Quận 8;22.118;5.81
Tây Nam;10.0;0;1;1;6;25.0;604.0; Đường Phạm Hùng, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh;7;Bình Chánh;2.792;5.81
Đông Bắc;15.0;0;1;3;6;23.5;148.0; Đường Cao Lỗ, Phường 4, Quận 8, Hồ Chí Minh;7;Quận 8;22.118;5.81
Nam;12.0;0;1;4;6;11.5;100.0; Đường số 4, Xã Bình Hưng, Huyện Bình Chánh, Hồ Chí Minh;7;Bình Chánh;2.792;5.81
Đông Nam;15.0;0;1;3;4;9.8;112.0; Đường Lê Bôi, Phường 7, Quận 8, Hồ Chí Minh;7;Quận 8;22.118;5.81
_;30.0;0;1;3;6;31.0;200.0; Đường Võ Nguyên Giáp, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng;8;Ngũ Hành Sơn;2.248;2.58
_;8.0;0;1;2;3;13.5;112.0; Đường Trần Khánh Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng;8;Ngũ Hành Sơn;2.248;2.58
_;3.0;0;0;4;6;11.8;188.0; Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng;8;Sơn Trà;2.483;2.58
_;9.0;0;1;7;6;26.0;120.0; Đường Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;12.0;0;0;5;6;24.0;88.0; Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
Nam;12.0;0;1;2;5;7.5;132.0; Đường D1, Phường Bửu Long, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
Nam;12.0;0;1;2;4;18.0;300.0; Đường N4, Phường Bửu Long, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
Tây Nam;18.0;0;1;2;4;10.3;100.0; Đường Nguyễn Du, Phường Bửu Long, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
Tây Nam;12.0;0;1;2;4;14.7;123.0; Đường Phạm Văn Thuận, Phường Tân Mai, Thành phố Biên Hoà, Đồng Nai;9;Biên Hòa;4.004;5.3
_;12.0;0;0;4;4;13.5;84.0; Đường Cư Xá Lữ Gia, Phường 15, Quận 11, Hồ Chí Minh;7;Quận 11;41.15;5.81
_;10.0;0;1;4;6;30.0;200.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;4.0;0;1;4;4;18.0;170.0; Phố Thái Thịnh, Phường Trung Liệt, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;15.0;0;0;5;4;24.5;85.0; Phố Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;10.0;0;1;5;6;14.5;76.0; Phố Ngụy Như Kon Tum, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;20.0;0;0;2;6;35.0;377.0; Đường Tân Thới Nhất, Phường Tân Thới Nhất, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;12.0;0;0;3;9;47.0;830.0; Đường Võ Thị Thừa, Phường An Phú Đông, Quận 12, Hồ Chí Minh;7;Quận 12;11.745;5.81
_;14.0;0;1;4;6;48.0;200.0; Đường Nguyễn Quý Cảnh, Phường An Khánh, Thành phố Thủ Đức, Hồ Chí Minh;7;Thủ Đức;4.791;5.81
_;20.0;0;1;4;4;48.0;365.0; Đường Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh;7;Tân Bình;21.196;5.81
_;13.0;0;1;3;3;9.6;79.0; Đường Bạch Đằng, Phường Hạ Lý, Quận Hồng Bàng, Hải Phòng;4;Hồng Bàng;6.628;10.34
Đông Nam;6.0;0;1;4;3;4.5;73.0; Đường Miếu Hai Xã, Phường Dư Hàng Kênh, Quận Lê Chân, Hải Phòng;4;Lê Chân;18.467;10.34
_;21.0;0;1;4;4;16.0;136.0; Đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
_;14.0;0;1;3;5;55.0;338.0; Đường Gia Thượng, Phường Ngọc Thụy, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;14.0;0;0;3;4;21.0;144.0; Đường Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;12.0;0;1;5;4;12.0;74.0; Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;17.0;0;1;4;5;35.0;391.0; Đường Nguyễn Đức Thuận, Xã Đặng Xá, Huyện Gia Lâm, Hà Nội;3;Gia Lâm;2.452;6.27
_;6.0;0;1;2;5;225.0;1.238; Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;4.0;0;1;3;7;130.0;2.3; Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;4.0;0;1;4;5;88.0;10.0; Đường Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;10.0;0;1;4;3;11.5;74.0; Đường Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;12.0;0;1;6;5;24.9;85.0; Khu biệt thự Hồng Tiến Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;24.0;0;1;5;6;51.0;155.0; Đường Hàm Nghi, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;20.0;0;1;4;6;80.0;180.0; Đường Tô Ngọc Vân, Phường Quảng An, Quận Tây Hồ, Hà Nội;3;Tây Hồ;6.578;6.27
_;9.0;0;0;4;6;38.0;200.0; Đường Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
_;11.0;0;1;5;4;43.0;165.0; Phố Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;8.0;0;1;3;5;7.1;80.0; Phố Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội;3;Đống Đa;37.161;6.27
_;7.0;0;0;4;6;35.0;290.0; Đường Lâm Du, Phường Bồ Đề, Quận Long Biên, Hà Nội;3;Long Biên;5.394;6.27
Đông Nam;15.0;0;1;4;6;28.488;253.0; Đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
Đông Bắc;30.0;0;1;4;4;7.688;60.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông Nam;12.0;0;1;4;4;6.688;63.0; Đường Lê Hồng Phong, Phường Đằng Hải, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Nam;6.0;0;1;4;4;3.8;40.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Bắc;10.0;0;1;4;4;4.85;60.0; Đường Lũng Đông, Phường Đằng Hải, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông Nam;12.0;0;1;6;6;12.8;105.0; Đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
Đông;12.0;0;1;4;4;13.68;97.0; Đường Đại lộ Võ Nguyên Giáp, Phường Vĩnh Niệm, Quận Lê Chân, Hải Phòng;4;Lê Chân;18.467;10.34
Bắc;3.0;0;1;3;5;7.888;142.0; Đường Tiền Phong, Phường Đằng Hải, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Tây Nam;15.0;0;1;3;4;41.868;500.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông;12.0;0;1;3;5;12.999;180.0; Đường Văn Cao, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;6.0;0;1;5;4;38.888;300.0; Đường Lê Hồng Phong, Phường Đằng Hải, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;12.0;0;1;3;3;13.498;130.0; Đường Work Bank, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;12.0;0;1;3;4;15.9;269.0; Đường Lê Hồng Phong, Phường Đông Hải 1, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông;6.0;0;1;4;4;3.498;40.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;12.0;0;1;4;5;22.0;250.0; Đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
Đông;12.0;0;0;4;4;12.5;90.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;12.0;0;1;3;3;16.5;190.0; Đường Lê Hồng Phong, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;15.0;0;1;4;4;16.0;130.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;15.0;0;0;5;5;18.0;130.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;9.0;0;1;3;4;25.0;270.0; Tuyến 2 Đường Văn Cao, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;12.0;0;1;5;5;39.9;456.0; Đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
_;12.0;0;1;3;3;18.3;242.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;15.0;0;1;5;4;18.0;150.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;15.0;0;1;3;5;29.0;290.0; Tuyến 2  Đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
_;12.0;0;1;5;5;26.0;336.0; Đường Ngô Gia Tự, Phường Thành Tô, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Đông Nam;15.0;0;1;4;5;13.9;119.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Tây Bắc;15.0;0;0;4;5;18.8;156.0; Đường Văn Cao, Phường Đằng Giang, Quận Ngô Quyền, Hải Phòng;4;Ngô Quyền;14.629;10.34
_;25.0;0;1;3;5;31.5;400.0; Đường Lê Hồng Phong, Phường Đằng Hải, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
Tây Bắc;15.0;0;1;5;4;24.0;150.0; Đường Lê Hồng Phong, Phường Đằng Lâm, Quận Hải An, Hải Phòng;4;Hải An;1.282;10.34
_;8.0;0;1;5;4;28.5;100.0; Đường Nguyễn Khang, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội;3;Cầu Giấy;23.516;6.27
_;12.0;0;1;5;5;12.8;90.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;4;4;8.9;55.0; Đường Lê Văn Lương, Phường Vạn Phúc, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;0;4;4;17.3;140.0; Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;6;4;14.0;90.0; Đường Bạch Thái Bưởi, Phường Văn Quán, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;0;6;5;9.5;55.0; Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;4.0;0;0;4;4;6.3;45.0; Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;5;4;11.0;65.0; Đường Lê Hồng Phong, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Đông Nam;10.0;0;1;4;5;8.6;55.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;5;4;7.5;50.0; Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;11.0;0;1;5;4;7.6;40.0; Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;4;4;8.0;50.0; Đường Lê Trọng Tấn, Phường Dương Nội, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;4;4;9.0;65.0; Phố Lý Thường Kiệt, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Đông Nam;10.0;0;1;4;4;5.6;50.0; Đường Yên Lộ, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Đông Nam;12.0;0;1;5;4;8.95;50.0; Đường Quang Trung, Phường La Khê, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;1;4;6;6.75;60.0; Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;5;4;18.4;68.0; Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;1;5;4;11.8;50.0; Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;6.0;0;1;6;4;6.75;45.0; Đường Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;0;4;6;6.8;60.0; Đường Quang Trung, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;4;4;8.7;50.0; Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;6;6;9.3;51.0; Đường Ngô Thì Nhậm, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
Đông Nam;12.0;0;1;5;4;9.15;50.0; Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;8.0;0;1;5;5;10.0;50.0; Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;5.0;0;0;1;3;6.5;64.0; 17F Đường Số 8, Phường An Lạc, Quận Bình Tân, Hồ Chí Minh;7;Bình Tân;15.109;5.81
_;5.0;0;1;1;3;2.35;150.0; Đường Hoàng Văn Thái, Xã Hòa Sơn, Huyện Hòa Vang, Đà Nẵng;8;Hòa Vang;199.0;2.58
_;5.0;0;1;5;8;9.68;100.0; Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng;8;Ngũ Hành Sơn;2.248;2.58
_;4.0;0;1;4;6;13.48;200.0; Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng;8;Thanh Khê;19.48;2.58
_;11.0;0;1;1;3;9.88;300.0; Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng;8;Ngũ Hành Sơn;2.248;2.58
_;12.0;0;1;5;10;12.5;90.0; Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội;3;Gia Lâm;2.452;6.27
_;8.0;0;1;5;5;10.9;60.0; Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;15.0;0;1;5;5;33.0;143.0; Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội;3;Thanh Xuân;32.255;6.27
_;17.0;0;1;4;6;27.0;148.0; Đường Tố Hữu, Phường Trung Văn, Quận Nam Từ Liêm, Hà Nội;3;Nam Từ Liêm;8.364;6.27
_;6.0;0;0;4;4;6.7;50.0; Đường Ngô Quyền, Phường Quang Trung, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;4;5;7.3;180.0; Đường Yên Hòa, Phường Yên Nghĩa, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;17.0;0;1;4;5;12.6;90.0; Đường Phúc La - Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;5;5;7.8;50.0; Đường Ngô Quyền, Phường La Khê, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;3;6;5.5;180.0; Đường Quang Trung, Phường Biên Giang, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;7;6;16.0;85.0; Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;7;5;13.5;60.0; Đường Yên Phúc, Phường Phúc La, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;12.0;0;1;5;4;7.6;45.0; Đường Ngô Thì Nhậm, Phường Hà Cầu, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
_;10.0;0;1;4;5;10.5;70.0; Đường Thanh Bình, Phường Mộ Lao, Quận Hà Đông, Hà Nội;3;Hà Đông;8.021;6.27
